日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,5MA,10MA,20MA,rsv,k,d
112/09/19,17331215.0,604308324.0,35.1,35.15,34.8,34.8,-0.30,9986.0,,35.160000000000004,34.745,34.9725,0.5172413793103439,0.6251573654229092,0.5693154911109403
112/09/20,27453105.0,948085087.0,34.8,34.85,34.35,34.35,-0.45,12561.0,,34.97,34.739999999999995,34.925,0.20689655172414045,0.48573709418998623,0.5414560254706222
112/09/21,35756361.0,1216822304.0,34.25,34.25,33.8,33.8,-0.55,21386.0,,34.629999999999995,34.685,34.85,0.0,0.3238247294599908,0.46891226013374504
112/09/22,30264572.0,1008227536.0,33.5,33.6,33.35,33.5,-0.30,16296.0,,34.31,34.625,34.769999999999996,0.0697674418604645,0.23913896692681536,0.3923211623981018
112/09/25,32303005.0,1071547260.0,33.4,33.45,33.0,33.1,-0.40,19288.0,,33.910000000000004,34.515,34.665,0.04000000000000057,0.17275931128454375,0.3191338786935824
112/09/26,25651061.0,841526411.0,33.1,33.3,33.0,33.0,-0.10,14123.0,,33.55,34.355,34.545,0.0,0.11517287418969582,0.25114687719228684
112/10/02,13954666.0,462505241.0,33.3,33.3,33.05,33.1,-0.15,8950.0,,33.3,34.135000000000005,34.435,0.042553191489362284,0.09096631328958463,0.1977533558913861
112/10/03,16266249.0,539321478.0,33.2,33.3,33.05,33.2,+0.10,7129.0,,33.17999999999999,33.905,34.347500000000004,0.09090909090909208,0.09094723916275377,0.16215131698184196
112/10/04,20561500.0,677175059.0,33.0,33.15,32.85,32.9,-0.30,11767.0,,33.059999999999995,33.685,34.230000000000004,0.0217391304347814,0.06787786958676298,0.13072683451681563
112/10/05,17660272.0,578826694.0,32.75,32.95,32.6,32.75,-0.15,13624.0,,32.989999999999995,33.45,34.1075,0.06666666666666604,0.06747413528006399,0.10964260143789842
112/10/06,15884461.0,520774500.0,32.75,33.1,32.7,32.8,+0.05,6869.0,,32.95,33.25,33.997499999999995,0.12121212121211873,0.08538679725741558,0.10155733337773745
112/10/11,16225669.0,536069353.0,33.15,33.2,32.85,33.1,+0.30,8001.0,,32.95,33.125,33.9325,0.5,0.22359119817161038,0.14223528830902843
112/10/12,20332421.0,683098719.0,33.2,33.8,33.15,33.7,+0.60,9266.0,,33.05,33.114999999999995,33.9,0.9166666666666711,0.4546163543366306,0.24636231031822914
112/10/13,19059868.0,647253744.0,33.9,34.15,33.7,33.8,+0.10,10560.0,,33.230000000000004,33.144999999999996,33.885000000000005,0.7741935483870954,0.5611420856867855,0.3512889021077479
112/10/16,13519437.0,455489988.0,33.8,33.9,33.6,33.6,-0.20,6603.0,,33.4,33.19500000000001,33.855000000000004,0.6451612903225818,0.5891484872320509,0.43057543048251556
112/10/17,18143021.0,607560645.0,33.8,33.8,33.3,33.45,-0.15,8426.0,,33.53,33.24,33.7975,0.5483870967741955,0.5755613570794325,0.4789040726814878
112/10/18,110992007.0,3568983437.0,32.65,32.75,32.3,32.45,-1.0,30818.0,,33.4,33.175,33.655,0.0810810810810841,0.41073459841331633,0.4561809145920973
112/10/19,67331244.0,2124826132.0,32.2,32.25,31.7,31.9,-0.55,33937.0,,33.040000000000006,33.045,33.475,0.08163265306122422,0.30103394996261895,0.40446525971560454
112/10/22,33671404.0,1064696077.0,31.7,31.9,31.4,31.75,-0.15,18546.0,,32.63,32.92999999999999,33.3075,0.1272727272727278,0.24311354239932187,0.3506813539435103
112/10/23,14150665.0,448293669.0,31.7,31.9,31.55,31.65,-0.1,9106.0,,32.24,32.82,33.135,0.09090909090909091,0.19237872523591154,0.29791381104097736
112/10/24,24067392.0,758939141.0,31.75,31.75,31.35,31.5,-0.15,11612.0,,31.85,32.690000000000005,32.97,0.05357142857142812,0.1461096263477504,0.24731241614323504
112/10/25,19646028.0,621917103.0,31.65,31.85,31.5,31.55,0.05,10635.0,,31.669999999999998,32.535000000000004,32.83,0.07142857142857124,0.12121594137469069,0.2052802578870536
112/10/29,12807214.0,407864929.0,31.55,32.0,31.55,31.85,0.4,6248.0,,31.660000000000004,32.35,32.7325,0.19607843137254924,0.1461701047073102,0.18557687349380578
112/10/30,15920174.0,508519791.0,31.8,32.1,31.75,32.0,0.15,7148.0,,31.71,32.17,32.657500000000006,0.2653061224489795,0.18588211062119997,0.18567861920293716
112/10/31,34975272.0,1126195244.0,32.05,32.35,32.05,32.25,0.25,8015.0,,31.829999999999995,32.035,32.615,0.6428571428571425,0.3382071213665141,0.2365214532574628
112/11/01,13675697.0,439806368.0,32.35,32.5,32.0,32.1,-0.15,6013.0,,31.95,31.9,32.57,0.652173913043479,0.4428627185921691,0.30530187503569817
112/11/02,25579046.0,802090124.0,32.3,32.5,32.25,32.35,0.25,6161.0,,32.11,31.889999999999997,32.5325,0.8695652173913054,0.5850968848585478,0.3985668783099814
